TRADE SHOW KPIs,,,,
Trade Show Budgeting,,,,
Trade Show Drive,,,,
Trade Show Scorecards,,,,
,,,,
HiHello - Digital Business Card Platform,,,,
,,,,
,ESTIMATED # OF ATTENDEES,AMOUNT OF LEADS,LEED CONVERSTION,
Hall of Flowers Ventura,1000 dispensaries,146,,number of attendees taken from event website
NECANN Boston,9000 attendees,54,,number of attendees taken from event website
MJ Unpacked Atlantic City,,,,
Reverly NY,,,,
MJ Unpacked St. Louis,,,,
MJBiz Con,,,,
,,,,
,,,,
RETAIL VISUAL MERCHANDISING KPIs,,,,
Merchandising Budget,,,,
,,,,
TOP 10 RETAILERS,KIT ADOPTION,,,
,,,,
,,,,
,,,,
COMPLIANCE AUDITS,COMPLIANT?,YOY GROWTH,,
,,,,
,,,,
,,,,
,,,,
,,,,
BRAND MANAGEMENT KPIs,,,,
Brand Budget,,,,
,,,,
DESIGN PROJECT,START DATE,END DATE,,
Iron Lung,,,,
EV,,,,
,,,,
,2024 SALES,2025 SALES,,
Sales from Packaged SirEEL Products,,,,
Market Saturation of SirEEL Products,,,,
,,,,
,,,,
,,,,
,,,,
MARKETPLACE EXPANSION KPIs,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
